geo_type,name,alternative_name,region,country,date,driving,walking,transit
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-25,138.43,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-26,154.01,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-27,144.94,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-28,133.16,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-29,143.43,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-11-30,124.4,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-01,131.49,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-02,121.48,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-03,148.7,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-04,154.48,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-05,152.66,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-06,140.25,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-07,148.12,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-08,132.12,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-09,139.52,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-10,152.09,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-11,155.47,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-12,167.57,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-13,140.72,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-14,146.4,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-15,141.55,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-16,141.71,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-17,156.31,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-18,170.23,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-19,168.77,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-20,152.55,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-21,155.74,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-12-22,186.6,<undefined>,<undefined>
