geo_type,name,alternative_name,region,country,date,driving,walking
city,Catania,<undefined>,Sicily Region,Italy,2021-10-26,122.82,101.86
city,Catania,<undefined>,Sicily Region,Italy,2021-10-27,101.15,114.04
city,Catania,<undefined>,Sicily Region,Italy,2021-10-28,66.16,71.52
city,Catania,<undefined>,Sicily Region,Italy,2021-10-29,61.2,56.85
city,Catania,<undefined>,Sicily Region,Italy,2021-10-30,120.56,139.02
city,Catania,<undefined>,Sicily Region,Italy,2021-10-31,153.19,182.24
city,Catania,<undefined>,Sicily Region,Italy,2021-11-01,127.83,138.2
city,Catania,<undefined>,Sicily Region,Italy,2021-11-02,167.11,195.31
city,Catania,<undefined>,Sicily Region,Italy,2021-11-03,169.95,202.72
city,Catania,<undefined>,Sicily Region,Italy,2021-11-04,165.4,188.46
city,Catania,<undefined>,Sicily Region,Italy,2021-11-05,160.65,200.63
city,Catania,<undefined>,Sicily Region,Italy,2021-11-06,166.23,248.47
city,Catania,<undefined>,Sicily Region,Italy,2021-11-07,146.27,144.9
city,Catania,<undefined>,Sicily Region,Italy,2021-11-08,144.16,172.56
city,Catania,<undefined>,Sicily Region,Italy,2021-11-09,138.09,162.29
city,Catania,<undefined>,Sicily Region,Italy,2021-11-10,138.64,166.72
city,Catania,<undefined>,Sicily Region,Italy,2021-11-11,137.37,156.92
city,Catania,<undefined>,Sicily Region,Italy,2021-11-12,152.71,179.23
city,Catania,<undefined>,Sicily Region,Italy,2021-11-13,174.9,263.81
city,Catania,<undefined>,Sicily Region,Italy,2021-11-14,144.14,149.59
city,Catania,<undefined>,Sicily Region,Italy,2021-11-15,142.67,172.45
city,Catania,<undefined>,Sicily Region,Italy,2021-11-16,136.99,150.41
city,Catania,<undefined>,Sicily Region,Italy,2021-11-17,127.68,154.28
city,Catania,<undefined>,Sicily Region,Italy,2021-11-18,144.72,174.39
city,Catania,<undefined>,Sicily Region,Italy,2021-11-19,155,208.3
city,Catania,<undefined>,Sicily Region,Italy,2021-11-20,173.12,243.86
city,Catania,<undefined>,Sicily Region,Italy,2021-11-21,139.95,147.06
city,Catania,<undefined>,Sicily Region,Italy,2021-11-22,139.74,160.28
city,Catania,<undefined>,Sicily Region,Italy,2021-11-23,139.91,165.52
city,Catania,<undefined>,Sicily Region,Italy,2021-11-24,148.88,187.97
city,Catania,<undefined>,Sicily Region,Italy,2021-11-25,139.45,137.79
city,Catania,<undefined>,Sicily Region,Italy,2021-11-26,171.99,199.66
city,Catania,<undefined>,Sicily Region,Italy,2021-11-27,165.98,235.7
city,Catania,<undefined>,Sicily Region,Italy,2021-11-28,123.34,118.13
city,Catania,<undefined>,Sicily Region,Italy,2021-11-29,127.42,128.82
city,Catania,<undefined>,Sicily Region,Italy,2021-11-30,141.83,143.11
city,Catania,<undefined>,Sicily Region,Italy,2021-12-01,144.66,152.53
city,Catania,<undefined>,Sicily Region,Italy,2021-12-02,138.44,149.11
city,Catania,<undefined>,Sicily Region,Italy,2021-12-03,155.39,164.85
city,Catania,<undefined>,Sicily Region,Italy,2021-12-04,162.8,217.13
city,Catania,<undefined>,Sicily Region,Italy,2021-12-05,145.18,135.07
city,Catania,<undefined>,Sicily Region,Italy,2021-12-06,137.55,146.5
city,Catania,<undefined>,Sicily Region,Italy,2021-12-07,159.55,172.67
city,Catania,<undefined>,Sicily Region,Italy,2021-12-08,127.2,140.06
city,Catania,<undefined>,Sicily Region,Italy,2021-12-09,138.21,137.16
city,Catania,<undefined>,Sicily Region,Italy,2021-12-10,143.53,157.48
city,Catania,<undefined>,Sicily Region,Italy,2021-12-11,149.13,177.77
