geo_type,name,alternative_name,region,country,date,driving,walking
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-11,98.77,83.52
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-12,106.39,103.63
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-13,120.89,118.25
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-14,128.45,74.1
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-15,93.42,76.73
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-16,91,84.37
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-17,93.89,88.06
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-18,101.38,83.89
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-19,123.69,105.73
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-20,159.53,157.71
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-21,183.52,153.73
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-22,123.71,119.5
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-23,122.67,124.52
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-24,121.86,113.98
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-25,130.16,124.36
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-26,150.29,143.22
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-27,181.34,166.33
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-28,203.52,158.11
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-29,138.39,134.25
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-06-30,130.5,130.91
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-01,139.9,129.13
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-02,145.06,148.74
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-03,179.23,167.76
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-04,224.04,215.42
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-05,255.46,207.77
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-06,171.74,172.49
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-07,166.77,184.56
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-08,176.59,186.87
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-09,186.61,187.29
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-10,207.54,206.02
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-11,274.6,248.74
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-12,275.36,227.73
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-13,204.33,207.46
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-14,202.1,230.99
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-15,202.19,222.66
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-16,210.84,223.22
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-17,260.86,270.39
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-18,318.21,320.83
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-19,336.64,295.57
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-20,241.86,254.23
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-21,237.72,266.49
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-22,237.41,257.89
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-23,232.6,249.75
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-24,314.11,322.95
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-25,335.85,337.52
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-26,345.43,319.74
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-27,264.06,295.09
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-28,246.34,295.2
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-29,262.91,288.75
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-30,265.72,271.9
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-07-31,310.92,280.05
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-01,358.46,343.75
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-02,353.54,319.02
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-03,300.67,339.16
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-04,326.34,448.93
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-05,294.26,350.25
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-06,315.72,343.09
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-07,364.93,364.37
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-08,451.58,440.78
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-08-09,432.57,423.88
